open_time,open,high,low,close,volume
1754625600000,116737.34,116973.3,116401.0,116817.19,1456.27491
1754640000000,116817.2,116914.6,116317.08,116891.51,1108.98011
1754654400000,116891.51,117271.73,115878.71,116207.69,2540.81848
1754668800000,116207.7,116900.0,116006.14,116453.41,1690.79713
1754683200000,116453.41,116980.0,116319.06,116674.74,854.52241
1754697600000,116674.74,116750.0,116299.13,116384.01,971.89236
1754712000000,116384.01,116980.0,116339.45,116756.01,2021.01259
1754726400000,116756.0,117944.05,116756.0,117110.0,2353.3714
1754740800000,117110.0,117238.04,116700.01,116892.47,1382.66437
1754755200000,116892.48,116947.16,116500.0,116535.69,1202.78039
1754769600000,116535.68,117021.16,116359.89,116462.25,1582.41033
1754784000000,116462.25,118500.0,116460.63,118500.0,3892.68324
1754798400000,118500.0,118741.77,117466.34,117808.3,2444.0838
1754812800000,117808.29,118500.0,117608.01,118330.58,1506.32503
1754827200000,118330.58,119113.94,118232.0,118815.0,2809.2276
1754841600000,118815.0,118944.24,118433.8,118663.08,995.85812
1754856000000,118663.09,119311.11,118074.99,119294.01,2674.59294
1754870400000,119294.27,122164.07,118972.59,121728.99,7626.19257
1754884800000,121729.0,122335.16,121466.08,121537.15,4279.8879
1754899200000,121537.14,121823.0,120286.4,120561.54,4216.26732
1754913600000,120561.53,120667.54,119382.91,120314.4,5236.26223
1754928000000,120314.4,120794.05,118604.17,119089.3,2812.92272
1754942400000,119089.3,119172.63,118050.11,118686.0,2322.80155
1754956800000,118686.0,119275.46,118593.39,118857.7,1894.63528
1754971200000,118857.7,119158.06,118424.86,118986.72,3135.38397
1754985600000,118986.73,119058.43,118207.47,118522.22,2346.379
1755000000000,118522.22,119960.0,118285.0,119933.0,4914.05441
1755014400000,119933.0,120192.1,119172.62,119665.27,2309.07117
1755028800000,119665.27,120324.43,119485.84,120134.08,2120.5851
1755043200000,120134.09,120192.1,119094.28,119482.01,2361.00135
1755057600000,119482.01,119820.18,118920.92,119580.4,2324.10298
1755072000000,119580.4,120732.94,119446.22,120570.41,3213.18528
1755086400000,120570.41,122200.0,120106.02,120920.62,7228.67197
1755100800000,120920.61,122839.47,120920.61,122744.21,4167.90157
1755115200000,122744.22,123667.79,122298.2,123306.43,3915.20787
1755129600000,123306.44,124474.0,123250.5,123337.14,3481.676316
1755144000000,123337.14,123428.6,121313.86,121725.31,3755.65744
1755158400000,121725.31,122045.9,120694.0,120949.67,3456.28874
1755172800000,120949.66,121183.06,117632.0,118257.25,11617.06761
1755187200000,118257.26,118535.0,117180.0,117945.92,3545.40524
1755201600000,117945.92,118516.81,117302.33,118295.09,2124.85224
1755216000000,118295.09,119077.71,118032.32,118968.91,1883.55436
1755230400000,118968.91,119216.82,118629.58,118956.45,1732.90691
1755244800000,118956.45,119144.5,118600.0,119006.01,1129.82607
1755259200000,119006.01,119130.77,116827.29,117275.22,5128.8936
1755273600000,117275.23,117882.35,116803.99,116936.27,2393.46089
1755288000000,116936.28,117761.88,116862.5,117342.05,1354.69691
1755302400000,117342.04,117898.99,117231.14,117429.63,1420.5255
1755316800000,117429.63,117884.0,117278.0,117596.07,925.25596
1755331200000,117596.07,117703.92,117143.98,117378.52,1206.0413
1755345600000,117378.52,117825.0,117327.63,117676.7,1191.50027
1755360000000,117676.7,117817.65,117629.94,117672.12,817.42683
1755374400000,117672.13,117713.51,117219.34,117380.66,832.93131
1755388800000,117380.66,117771.37,117172.21,117684.95,770.53091
1755403200000,117684.96,118230.82,117684.95,118005.98,1109.68335
1755417600000,118005.98,118484.0,117922.0,118308.01,1007.67549
1755432000000,118308.0,118575.0,118059.12,118246.16,974.27271
1755446400000,118246.15,118316.01,117321.53,117570.07,1326.17558
1755460800000,117570.07,117995.37,117371.65,117405.01,710.30388
1755475200000,117405.01,117543.75,115000.0,115319.0,5801.42298
1755489600000,115319.0,115712.49,114878.71,115205.98,3433.42415
1755504000000,115205.99,115402.51,114640.14,114947.27,2793.98984
1755518400000,114947.27,116186.97,114825.0,116145.34,2772.17945
1755532800000,116145.34,116800.0,115818.86,116313.99,1731.37273
1755547200000,116314.0,116980.0,115980.32,116227.05,1213.55039
1755561600000,116227.05,116725.69,114787.23,114810.0,2390.89748
1755576000000,114810.01,115483.24,114366.0,114978.14,2499.12321
1755590400000,114978.15,115650.0,114804.0,115508.71,1471.04277
1755604800000,115508.71,115875.84,113587.68,113786.38,5294.46316
1755619200000,113786.39,113897.58,112767.06,113132.48,3784.35052
1755633600000,113132.49,113589.48,112732.58,112872.94,2625.5971
1755648000000,112872.95,113636.13,112566.01,113525.91,3116.70576
1755662400000,113525.9,113837.93,113432.0,113490.13,1367.41482
1755676800000,113490.14,114016.77,113060.08,113666.68,2352.50644
1755691200000,113666.69,114326.35,112380.0,113353.94,4605.43198
1755705600000,113353.94,114444.0,113264.01,114276.66,2624.00614
1755720000000,114276.66,114615.38,114000.0,114271.24,1570.2768
1755734400000,114271.23,114821.76,113906.01,113954.62,1626.72781
1755748800000,113954.62,114033.84,113582.43,113896.03,1612.36321
1755763200000,113896.03,113990.0,113000.0,113148.66,1509.65106
1755777600000,113148.65,113995.11,112608.64,112792.08,2521.11028
1755792000000,112792.08,112969.47,112015.67,112193.71,2468.80417
1755806400000,112193.71,112870.94,112067.46,112500.0,1101.03582
1755820800000,112500.0,113525.0,112335.6,112929.24,1610.19525
1755835200000,112929.24,113394.76,112708.81,113094.83,1656.2572
1755849600000,113094.83,113319.3,112177.27,112320.0,1932.43574
1755864000000,112320.01,117296.12,111684.79,116370.75,11505.26127
1755878400000,116370.75,117429.05,116116.0,116655.79,4307.94644
1755892800000,116655.79,117174.43,116550.96,116935.99,2115.99447
1755907200000,116936.0,117030.0,115458.2,115568.77,2647.58419
1755921600000,115568.77,116034.53,115551.2,115799.47,2258.18362
1755936000000,115799.46,115861.8,115223.43,115310.13,1313.89391
1755950400000,115310.13,115486.97,114560.0,114812.87,3027.56166
1755964800000,114812.88,115190.74,114684.11,115133.91,1105.55067
1755979200000,115133.92,115454.12,115001.88,115438.05,976.58792
1755993600000,115438.06,115666.68,114934.21,115036.0,1995.92433
1756008000000,115036.01,115283.21,114846.14,114888.19,1715.6873
1756022400000,114888.19,115060.99,114600.0,114730.22,2223.47925
1756036800000,114730.22,114869.41,114350.57,114400.0,2662.01905
