symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss
BTCUSDT,8h,365 days ago UTC,16,hybrid_transformer,1033,time,0.2,,direction,0.0,0.5048543689320388,0.5234375,0.6203703703703703,0.5677966101694916,0.5139833711262283,"[[37, 61], [41, 67]]",0.655,3,0.6666666666666666,4.913589279164327e-05,0.003373997971692838,0.010126069012178274,2.40424855455172,33739979716.92838,0.002,,,,0.7035336872951019
BTCUSDT,8h,365 days ago UTC,16,voting_soft,1048,time,0.2,,direction,0.0,0.507177033492823,0.6538461538461539,0.15315315315315314,0.24817518248175183,0.5141570141570142,"[[89, 9], [94, 17]]",0.645,1,1.0,5.22184982543609e-05,0.010913666135161428,0.010913666135161426,2.288937406256616,,0.002,,,,0.7412729359214771
BTCUSDT,8h,365 days ago UTC,16,stacking,1048,time,0.2,,direction,0.0,0.5358851674641149,0.5339805825242718,0.990990990990991,0.694006309148265,0.5005515719801434,"[[2, 96], [1, 110]]",0.57,8,0.5,5.9380585981653646e-05,0.0015513178087707014,0.012266879603643144,1.3559652691274906,0.4223014916193174,0.002,,,,0.6919772486960816
BTCUSDT,8h,365 days ago UTC,16,arima,1048,time,0.2,,direction,0.0,0.5311004784688995,0.5311004784688995,1.0,0.69375,0.5044125758411474,"[[0, 98], [0, 111]]",0.63,0,,0.0,,0.0,,,0.002,,,,0.7096705538384203
BTCUSDT,1d,365 days ago UTC,16,logreg,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.5232323232323233,"[[0, 30], [0, 33]]",0.515,0,,0.0,,0.0,,,0.002,,,,0.6923540274494946
BTCUSDT,1d,365 days ago UTC,16,sgdlog,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.4767676767676768,"[[0, 30], [0, 33]]",0.575,0,,0.0,,0.0,,,0.002,,,,0.6956153396420557
BTCUSDT,1d,365 days ago UTC,16,rf,318,time,0.2,,direction,0.0,0.5238095238095238,0.5405405405405406,0.6060606060606061,0.5714285714285714,0.5641414141414142,"[[13, 17], [13, 20]]",0.645,12,0.75,0.001671472622480749,0.00877523126802393,0.1095997231377126,5.052672203949715,3.849193459880714,0.002,,,,0.6969275137149418
BTCUSDT,1d,365 days ago UTC,16,hgb,318,time,0.2,,direction,0.0,0.5555555555555556,0.6,0.45454545454545453,0.5172413793103449,0.6060606060606061,"[[20, 10], [18, 15]]",0.505,24,0.5833333333333334,0.001310393530723333,0.00343978301814875,0.08403741170120438,3.259764550450512,0.6507536610190129,0.002,,,,0.8066674579757286
BTCUSDT,1d,365 days ago UTC,16,linsvc,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.4767676767676768,"[[0, 30], [0, 33]]",0.575,0,,0.0,,0.0,,,0.002,,,,0.6956153405328961
BTCUSDT,1d,365 days ago UTC,16,bilstm,303,time,0.2,,direction,0.0,0.5666666666666667,0.5641025641025641,0.7096774193548387,0.6285714285714286,0.5461624026696329,"[[12, 17], [9, 22]]",0.73,8,0.75,0.0015542718260646645,0.011657038695484984,0.09646139375113627,4.8235769143907365,17.356989408859988,0.002,,,,0.7192038252960964
BTCUSDT,1d,365 days ago UTC,16,gru_lstm,303,time,0.2,,direction,0.0,0.43333333333333335,0.3333333333333333,0.0967741935483871,0.15,0.44493882091212456,"[[23, 6], [28, 3]]",0.845,0,,0.0,,0.0,,,0.002,,,,0.8201310456053836
