symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,8h,720 days ago UTC,16,linreg,2113,time,0.2,,return_bps,0.0,,,,,,[],27.0,18,,-2.898203531025934,,-52.16766355846681,-0.036442644318913864,9.609960821926888e-05,-0.06038864690183039,0.0023,-0.07285189579657358,72.44576386717723,102.07881047474827,198.33832508179677
BTCUSDT,8h,720 days ago UTC,16,linreg,2113,time,0.2,,return_bps,0.0,,,,,,[],27.0,18,,-2.898203531025934,,-52.16766355846681,-0.036442644318913864,9.609960821926888e-05,-0.06038864690183039,0.0023,-0.07285834828530269,72.44868361713965,102.08040971498131,198.33562353327753
BTCUSDT,8h,720 days ago UTC,16,rf_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],60.0,7,,10.775541807986428,,75.428792655905,0.08289977278485176,0.4563636299136239,0.19743304155852123,0.0023,-0.3032450110192282,78.22350283367396,112.50678817984502,210.35911718034637
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.432714601797333,,-141.84686725751465,-0.04742474728015026,0.20982751942313083,-0.08016227563988751,0.0023,-0.35852327002655704,84.20233998877463,114.8680456459363,306.40123807846516
BTCUSDT,8h,720 days ago UTC,16,svr,2113,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.002202116719910663,69.7765872709952,98.65743387630134,119.076774352173
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.352205814481641,,-139.2705860634125,-0.04658802132286806,0.21076301580696205,-0.07862545188088807,0.0023,-0.35831310631463253,84.19623505703503,114.8562574108222,306.4758373356869
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.378092360858185,,-140.0989555474619,-0.04685727230753823,0.2104619800545584,-0.07912033977065983,0.0023,-0.3583808094920904,84.19819801789771,114.86003295950499,306.4507553107927
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.693588036665254,,-150.19481717328813,-0.05012213720364084,0.20681256670174525,-0.0850896650181474,0.0023,-0.3591962005899185,84.22212186061294,114.90717521038809,306.21411385558963
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.753528687551842,,-152.11291800165895,-0.050738795072908065,0.20612370272291985,-0.08620898043348402,0.0023,-0.35934907331838706,84.22666712323942,114.91636711790778,306.17989695170706
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.683114025238293,,-149.85964880762538,-0.05001425999461042,0.20693309565189844,-0.08489354721393293,0.0023,-0.35916942058827717,84.22132762277961,114.90557673114603,306.2203734184106
BTCUSDT,8h,720 days ago UTC,16,hgb_reg,2113,time,0.2,,return_bps,0.0,,,,,,[],57.0,32,,-4.756974800119753,,-152.2231936038321,-0.0507742114478628,0.20608414573845762,-0.08627317240906257,0.0023,-0.35935784241644986,84.22692843983225,114.91689786364527,306.17800893509866
BTCUSDT,8h,720 days ago UTC,16,arima,2113,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0038778550066569384,69.8349180637486,98.75308062007095,125.4139029021525
BTCUSDT,1d,720 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],46.0,70,,4.537213954128575,,317.6049767890002,0.029088932712632864,0.3047872432628682,0.046859360911408694,0.0023,-0.33795439721369536,150.30613988204462,199.98286981141447,376.6234708757039
