symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.0481540513037968,205.65470250168258,255.46550454519746,158.5251275015305
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.04886649963150902,205.43162775644188,255.43448004876527,157.90805961178634
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.04889959901638563,205.42124040317117,255.43310177549841,157.8808927120074
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.046529949324822906,206.15969254819123,255.54579439275204,160.20902258260648
BTCUSDT,1d,120 days ago UTC,16,arima,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.015144810165295786,194.91775559158557,263.5941638800402,104.07591832995008
BTCUSDT,4h,365 days ago UTC,16,linreg,2143,time,0.2,,return_bps,0.0,,,,,,[],59.0,2,,44.816792740458595,,89.63358548091719,0.4192755623878126,44816792740.458595,0.002,-0.15976680960256218,53.21999517218008,73.38551572553028,432.51693373844455
BTCUSDT,4h,365 days ago UTC,16,linreg,2143,time,0.2,,return_bps,0.0,,,,,,[],59.0,2,,44.816792740458595,,89.63358548091719,0.4192755623878126,44816792740.458595,0.002,-0.15976687228968456,53.21999725309263,73.38551760991334,432.5189506521186
BTCUSDT,4h,365 days ago UTC,16,rf_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],60.0,2,,68.45588382687787,,136.91176765375573,0.8222738415443903,68455883826.87786,0.002,-0.4441896256257536,59.781544083044594,81.89162472072123,611.0375005900253
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-11.08518453102057,,-44.34073812408228,-0.09123219377657632,-0.1247114612024372,0.002,-0.13697970732978737,51.29315421490922,72.661875392399,353.9818080524113
BTCUSDT,4h,365 days ago UTC,16,svr,2143,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.0013103793115276652,47.191365000257115,68.18876504937128,124.62085540437053
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-11.15220448114516,,-44.60881792458064,-0.0917830235340059,-0.12565494058692533,0.002,-0.13702220512545038,51.293780569583284,72.6631607707174,354.17714390223324
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-11.151981823503947,,-44.60792729401579,-0.09178119368842319,-0.12565180138577925,0.002,-0.13702206395256744,51.293778488670746,72.66315649656933,354.17646997966295
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-10.784374057204985,,-43.13749622881994,-0.08875875598259596,-0.12051158696731112,0.002,-0.13678884402319924,51.290342902069824,72.65613432136392,353.2583514325019
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-10.509169212174466,,-42.036676848697866,-0.08649435883871436,-0.1167183775180001,0.002,-0.1366140597538803,51.28777089417235,72.65092232965821,352.75672679070055
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-10.942460982748518,,-43.76984393099407,-0.09005886034349396,-0.12271170937293385,0.002,-0.13688917359665287,51.2918203499721,72.65914571682941,353.61066675200425
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2143,time,0.2,,return_bps,0.0,,,,,,[],41.0,4,,-10.692193793578312,,-42.76877517431325,-0.08800044735708074,-0.11923585951227747,0.002,-0.1367303175867598,51.28948140427892,72.65438425837576,353.07632844990377
BTCUSDT,4h,365 days ago UTC,16,arima,2143,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.0032698335128724665,47.285513086445036,68.25610026990186,144.0102423609682
BTCUSDT,8h,365 days ago UTC,16,linreg,1048,time,0.2,,return_bps,0.0,,,,,,[],59.0,123,,-19.89964688095825,,-2447.656566357865,-0.18930711731253308,-0.23501250419194983,0.002,-1.0448819894646824,111.23065965452973,141.75892422259426,595.1657517959703
BTCUSDT,8h,365 days ago UTC,16,linreg,1048,time,0.2,,return_bps,0.0,,,,,,[],59.0,123,,-19.933526942665903,,-2451.8238139479063,-0.18973312328711686,-0.23541262376149413,0.002,-1.0469007154284369,111.25059863821413,141.77768198992746,595.1853028091102
BTCUSDT,8h,365 days ago UTC,16,rf_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],34.0,3,,31.833310910328237,,95.49993273098471,0.17059607002139074,31833310910.328236,0.002,-0.14833233158162007,77.4274216981646,106.19235331762367,236.04947161662903
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.381768201462735,,173.3447548204783,0.13592769271155322,0.16394418873993122,0.002,-0.26525401947876937,84.2110044491186,111.47989242881322,287.6732660753753
BTCUSDT,8h,365 days ago UTC,16,svr,1048,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.0012366007605968399,71.1194790033241,99.18423370995531,105.82775043480362
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.613490462641916,,176.58886647698682,0.1379079964122425,0.16701237072362524,0.002,-0.2648952134112328,84.22652651446073,111.49555865020487,287.67648832538464
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.625396884327639,,176.75555638058694,0.13800906445306185,0.16717002095679875,0.002,-0.2648767164342576,84.2273240738081,111.49637575628938,287.67665077052885
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.508209223061158,,175.1149291228562,0.1370114023884953,0.16561836567266952,0.002,-0.2650585130655705,84.21947418262279,111.48838510780931,287.67503877653775
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.659563137860827,,177.23388393005158,0.13829871449731276,0.1676224085824304,0.002,-0.26482360530092475,84.22961272237013,111.49872708213135,287.6771152598789
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.7443316835589,,178.4206435698246,0.1390149764048046,0.16874480969905709,0.002,-0.26469162321644846,84.23529099815853,111.50460304650541,287.6782571761844
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1048,time,0.2,,return_bps,0.0,,,,,,[],33.0,14,,12.87374931057883,,180.23249034810362,0.14010197317928202,0.1704583991900898,0.002,-0.26448954745050823,84.24396012149958,111.51368994383864,287.6799722085337
BTCUSDT,8h,365 days ago UTC,16,arima,1048,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.004481262216768922,71.08908358993406,99.3768883876778,114.396951242769
BTCUSDT,1d,365 days ago UTC,16,linreg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,35,,-4.435456399491098,,-155.24097398218845,-0.02732634136915449,-0.04069051405596785,0.002,-0.34704301255139125,175.67440803756304,220.545812009092,351.807358442853
BTCUSDT,1d,365 days ago UTC,16,linreg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,35,,-4.435456399491098,,-155.24097398218845,-0.02732634136915449,-0.04069051405596785,0.002,-0.3470431760728956,175.6744221125675,220.5458227177065,351.80759168519586
