symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps
BTCUSDT,8h,365 days ago UTC,16,rf,1048,time,0.2,,direction,0.0,0.507177033492823,0.5333333333333333,0.5765765765765766,0.5541125541125541,0.49783967641110505,"[[42, 56], [47, 64]]",0.675,1,1.0,1.887994205742818e-05,0.0039459078900024895,0.003945907890002598,2.2889374062566175,0.003,,
BTCUSDT,8h,365 days ago UTC,16,hgb,1048,time,0.2,,direction,0.0,0.5502392344497608,0.5620437956204379,0.6936936936936937,0.6209677419354839,0.5158117300974443,"[[38, 60], [34, 77]]",0.9,57,0.3333333333333333,-0.0007779720348004058,-0.002852564127601488,-0.15225750866916477,-5.248267078310761,0.003,,
BTCUSDT,8h,365 days ago UTC,16,linsvc,1048,time,0.2,,direction,0.0,0.4688995215311005,0.0,0.0,0.0,0.5075381503952932,"[[98, 0], [111, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,365 days ago UTC,16,bilstm,1033,time,0.2,,direction,0.0,0.5485436893203883,0.5570469798657718,0.7545454545454545,0.640926640926641,0.5000946969696969,"[[30, 66], [27, 83]]",0.71,2,0.5,8.984090654591296e-05,0.009253613374229034,0.018500170732274945,2.259249877296615,0.003,,
BTCUSDT,8h,365 days ago UTC,16,gru_lstm,1033,time,0.2,,direction,0.0,0.5339805825242718,0.54375,0.7909090909090909,0.6444444444444445,0.5036931818181818,"[[23, 73], [23, 87]]",0.74,13,0.46153846153846156,3.918729545750534e-05,0.0006209679126343154,0.007664211519541331,0.6278118829966979,0.003,,
BTCUSDT,8h,365 days ago UTC,16,hybrid_transformer,1033,time,0.2,,direction,0.0,0.470873786407767,0.5035460992907801,0.6454545454545455,0.5657370517928287,0.43664772727272727,"[[26, 70], [39, 71]]",0.835,1,1.0,1.1980615385347224e-05,0.002468006769381528,0.0024680067693816365,2.3055441831772656,0.003,,
BTCUSDT,8h,365 days ago UTC,16,voting_soft,1048,time,0.2,,direction,0.0,0.5263157894736842,0.5441176470588235,0.6666666666666666,0.5991902834008097,0.5202243059385916,"[[36, 62], [37, 74]]",0.72,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,365 days ago UTC,16,stacking,1048,time,0.2,,direction,0.0,0.5167464114832536,0.5252525252525253,0.9369369369369369,0.6731391585760518,0.5210516639088068,"[[4, 94], [7, 104]]",0.585,9,0.6666666666666666,0.00022754757222281179,0.0052841602882852945,0.04796066169523261,2.8800617120186818,0.003,,
BTCUSDT,1d,365 days ago UTC,16,logreg,318,time,0.2,,direction,0.0,0.5396825396825397,0.5396825396825397,1.0,0.7010309278350515,0.5679513184584178,"[[0, 29], [0, 34]]",0.515,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,365 days ago UTC,16,sgdlog,318,time,0.2,,direction,0.0,0.5396825396825397,0.5396825396825397,1.0,0.7010309278350515,0.5679513184584178,"[[0, 29], [0, 34]]",0.66,22,0.45454545454545453,0.00024558190286122847,0.0007032572672844277,0.012638861403605262,0.4847534302731029,0.003,,
BTCUSDT,1d,365 days ago UTC,16,rf,318,time,0.2,,direction,0.0,0.4444444444444444,0.48717948717948717,0.5588235294117647,0.5205479452054794,0.5593306288032454,"[[9, 20], [15, 19]]",0.595,14,0.7857142857142857,0.001807347644173225,0.00813306439877951,0.11909190278598625,5.40704151844105,0.003,,
BTCUSDT,1d,365 days ago UTC,16,hgb,318,time,0.2,,direction,0.0,0.5555555555555556,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.6196754563894523,"[[19, 10], [18, 16]]",0.69,14,0.6428571428571429,0.0010906207930881262,0.004907793568896568,0.06997573643527621,3.571948949825911,0.003,,
BTCUSDT,1d,365 days ago UTC,16,linsvc,318,time,0.2,,direction,0.0,0.5396825396825397,0.5396825396825397,1.0,0.7010309278350515,0.5679513184584178,"[[0, 29], [0, 34]]",0.66,22,0.45454545454545453,0.00024496716733951775,0.0007014968882904378,0.012600464861677985,0.48360813091431004,0.003,,
BTCUSDT,1d,365 days ago UTC,16,bilstm,303,time,0.2,,direction,0.0,0.4,0.42857142857142855,0.375,0.4,0.45535714285714285,"[[12, 16], [20, 12]]",0.625,13,0.46153846153846156,0.0005136276520799849,0.0023705891634460837,0.0301334267899398,1.580566339225526,0.003,,
BTCUSDT,1d,365 days ago UTC,16,gru_lstm,303,time,0.2,,direction,0.0,0.5333333333333333,0.5833333333333334,0.4375,0.5,0.5948660714285715,"[[18, 10], [18, 14]]",0.515,22,0.5454545454545454,0.0009934609022988808,0.0027094388244514934,0.059201785617717384,2.268818973846003,0.003,,
BTCUSDT,1d,365 days ago UTC,16,hybrid_transformer,303,time,0.2,,direction,0.0,0.5166666666666667,0.5789473684210527,0.34375,0.43137254901960786,0.5390625,"[[20, 8], [21, 11]]",0.51,16,0.5625,0.0008678454025705615,0.003254420259639606,0.05252427925752001,3.0640077536071253,0.003,,
BTCUSDT,1d,365 days ago UTC,16,voting_soft,318,time,0.2,,direction,0.0,0.5396825396825397,0.5925925925925926,0.47058823529411764,0.5245901639344263,0.6348884381338742,"[[18, 11], [18, 16]]",0.585,15,0.6666666666666666,0.0013146252331161475,0.005521425979087818,0.08493299382097397,3.923412437443704,0.003,,
BTCUSDT,1d,365 days ago UTC,16,stacking,318,time,0.2,,direction,0.0,0.4444444444444444,0.48717948717948717,0.5588235294117647,0.5205479452054794,0.37423935091277893,"[[9, 20], [15, 19]]",0.595,1,1.0,0.00037153563275775937,0.02340674486373884,0.02340674486373895,2.4070003725904976,0.003,,
BTCUSDT,4h,720 days ago UTC,16,logreg,4273,time,0.2,,direction,0.0,0.5,0.5,1.0,0.6666666666666666,0.5249795698983706,"[[0, 427], [0, 427]]",0.52,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,sgdlog,4273,time,0.2,,direction,0.0,0.5,0.5,1.0,0.6666666666666666,0.5229447866219855,"[[0, 427], [0, 427]]",0.54,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,rf,4273,time,0.2,,direction,0.0,0.5058548009367682,0.5862068965517241,0.03981264637002342,0.07456140350877193,0.5289860636541637,"[[415, 12], [410, 17]]",0.55,7,0.42857142857142855,2.9461271311286444e-05,0.0035942750999769465,0.02520168645677412,1.723119924334424,0.003,,
BTCUSDT,4h,720 days ago UTC,16,hgb,4273,time,0.2,,direction,0.0,0.509367681498829,0.5833333333333334,0.06557377049180328,0.11789473684210526,0.4838451370873531,"[[407, 20], [399, 28]]",0.765,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,linsvc,4273,time,0.2,,direction,0.0,0.5,0.5,1.0,0.6666666666666666,0.5176247333117606,"[[0, 427], [0, 427]]",0.54,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,bilstm,4258,time,0.2,,direction,0.0,0.5323149236192715,0.5221518987341772,0.7746478873239436,0.6238185255198487,0.5411074288870478,"[[123, 302], [96, 330]]",0.62,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,gru_lstm,4258,time,0.2,,direction,0.0,0.4982373678025852,0.4992700729927007,0.8028169014084507,0.6156615661566157,0.49104114885390776,"[[82, 343], [84, 342]]",0.655,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,hybrid_transformer,4258,time,0.2,,direction,0.0,0.4994124559341951,0.5,0.5492957746478874,0.5234899328859061,0.5051035625517812,"[[191, 234], [192, 234]]",0.76,8,0.5,2.9964795317196994e-05,0.00318750510186683,0.02517552459771566,1.1362513245305104,0.003,,
BTCUSDT,4h,720 days ago UTC,16,voting_soft,4273,time,0.2,,direction,0.0,0.5105386416861827,0.6363636363636364,0.04918032786885246,0.09130434782608696,0.502777945362504,"[[415, 12], [406, 21]]",0.62,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,720 days ago UTC,16,stacking,4273,time,0.2,,direction,0.0,0.4964871194379391,0.4982373678025852,0.9929742388758782,0.6635367762128326,0.465647264011759,"[[0, 427], [3, 424]]",0.575,4,0.5,1.404690282434985e-06,0.0002999013752998693,0.0008374368240402497,0.07117298470777005,0.003,,
BTCUSDT,4h,720 days ago UTC,16,metalabel,4273,time,0.2,,direction,0.0,0.509367681498829,0.6176470588235294,0.04918032786885246,0.0911062906724512,0.4838451370873531,"[[414, 13], [406, 21]]",0.725,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,logreg,2113,time,0.2,,direction,0.0,0.5379146919431279,0.5379146919431279,1.0,0.699537750385208,0.4968937083474528,"[[0, 195], [0, 227]]",0.525,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,sgdlog,2113,time,0.2,,direction,0.0,0.46208530805687204,0.0,0.0,0.0,0.5162091946232915,"[[195, 0], [227, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,rf,2113,time,0.2,,direction,0.0,0.466824644549763,1.0,0.00881057268722467,0.017467248908296942,0.49926578560939794,"[[195, 0], [225, 2]]",0.5,2,1.0,0.00012651253304425423,0.026694144472337644,0.0540218343588017,2.1634137783995055,0.003,,
BTCUSDT,8h,720 days ago UTC,16,hgb,2113,time,0.2,,direction,0.0,0.46208530805687204,0.5,0.00881057268722467,0.017316017316017316,0.4682254602959449,"[[193, 2], [225, 2]]",0.59,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,linsvc,2113,time,0.2,,direction,0.0,0.46208530805687204,0.0,0.0,0.0,0.4794532926691518,"[[195, 0], [227, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,bilstm,2098,time,0.2,,direction,0.0,0.5393794749403341,0.5417789757412399,0.8973214285714286,0.6756302521008404,0.5238782051282052,"[[25, 170], [23, 201]]",0.755,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,gru_lstm,2098,time,0.2,,direction,0.0,0.47494033412887826,0.515625,0.29464285714285715,0.375,0.4992216117216117,"[[133, 62], [158, 66]]",0.76,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,hybrid_transformer,2098,time,0.2,,direction,0.0,0.5250596658711217,0.5415282392026578,0.7276785714285714,0.6209523809523809,0.49290293040293043,"[[57, 138], [61, 163]]",0.84,3,0.6666666666666666,4.753070961045933e-05,0.006638455775594153,0.01915756982361705,0.7363036020011603,0.003,,
BTCUSDT,8h,720 days ago UTC,16,voting_soft,2113,time,0.2,,direction,0.0,0.46208530805687204,0.5,0.004405286343612335,0.008733624454148471,0.48568846718626457,"[[194, 1], [226, 1]]",0.55,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,720 days ago UTC,16,stacking,2113,time,0.2,,direction,0.0,0.5379146919431279,0.5379146919431279,1.0,0.699537750385208,0.48476222749350506,"[[0, 195], [0, 227]]",0.685,6,0.8333333333333334,0.00015320781777945517,0.010775616517155013,0.06615901130322754,3.0204171085024,0.003,,
BTCUSDT,8h,720 days ago UTC,16,metalabel,2113,time,0.2,,direction,0.0,0.46208530805687204,0.5,0.00881057268722467,0.017316017316017316,0.4682254602959449,"[[193, 2], [225, 2]]",0.585,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,720 days ago UTC,16,logreg,673,time,0.2,,direction,0.0,0.5298507462686567,0.5298507462686567,1.0,0.6926829268292682,0.5707578806170356,"[[0, 63], [0, 71]]",0.525,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,720 days ago UTC,16,sgdlog,673,time,0.2,,direction,0.0,0.4701492537313433,0.0,0.0,0.0,0.5309635591325732,"[[63, 0], [71, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,720 days ago UTC,16,rf,673,time,0.2,,direction,0.0,0.5149253731343284,0.5441176470588235,0.5211267605633803,0.5323741007194245,0.48312094790968035,"[[32, 31], [34, 37]]",0.625,1,1.0,7.091842271274004e-06,0.0009503068643507166,0.000950306864350825,1.6504183097066407,0.003,,
BTCUSDT,1d,720 days ago UTC,16,hgb,673,time,0.2,,direction,0.0,0.48507462686567165,0.5625,0.1267605633802817,0.20689655172413793,0.5510842834786497,"[[56, 7], [62, 9]]",0.655,2,0.5,5.3627294704861426e-05,0.0035930287452257156,0.007164342997419748,1.2142889588924455,0.003,,
BTCUSDT,1d,720 days ago UTC,16,linsvc,673,time,0.2,,direction,0.0,0.4701492537313433,0.0,0.0,0.0,0.4426559356136821,"[[63, 0], [71, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,720 days ago UTC,16,bilstm,658,time,0.2,,direction,0.0,0.5038167938931297,0.5212765957446809,0.7101449275362319,0.6012269938650306,0.4721832632071062,"[[17, 45], [20, 49]]",0.78,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,720 days ago UTC,16,gru_lstm,658,time,0.2,,direction,0.0,0.5419847328244275,0.5957446808510638,0.4057971014492754,0.4827586206896552,0.536231884057971,"[[43, 19], [41, 28]]",0.785,11,0.7272727272727273,0.00045485841812215115,0.005416950252181981,0.06074293291452815,2.835388288357472,0.003,,
BTCUSDT,1d,720 days ago UTC,16,hybrid_transformer,658,time,0.2,,direction,0.0,0.48854961832061067,0.5142857142857142,0.5217391304347826,0.5179856115107914,0.49766245909303414,"[[28, 34], [33, 36]]",0.57,41,0.5121951219512195,0.0005900066355703846,0.0018851431526761071,0.07398666317985603,1.181257199990685,0.003,,
BTCUSDT,1d,720 days ago UTC,16,voting_soft,673,time,0.2,,direction,0.0,0.5,0.7,0.09859154929577464,0.1728395061728395,0.5515314106863402,"[[60, 3], [64, 7]]",0.51,8,0.5,0.0002087736965706384,0.0034969594175581938,0.028008257508403078,1.731463762382328,0.003,,
BTCUSDT,1d,720 days ago UTC,16,stacking,673,time,0.2,,direction,0.0,0.5373134328358209,0.5338345864661654,1.0,0.696078431372549,0.5450480661748267,"[[1, 62], [0, 71]]",0.53,9,0.6666666666666666,0.00038354241250346645,0.005710520363940501,0.05136485961052628,1.646903923411926,0.003,,
